Participant,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time
1,1,30.879999309778203,2,56.43999873846769,3,84.31999811530069,15.0,384.8999913968147,14.0,391.3999912515287,13.0,436.6399902403357,12.0,454.6199898384507,11.0,457.6599897705017,8.0,600.5599865764377,9.0,605.9199864566327,10.0,626.5199859961867,7.0,653.4599853940307,6.0,691.6399845406416,4.0,902.8799798190597,5.0,919.8199794404208
2,1,6.699999850244012,2,26.499999407679013,3,44.49999900534806,15.0,230.099994856865,14.0,237.01999470219107,13.0,276.43999382108507,12.0,301.19999326765605,11.0,338.13999244198203,8.0,429.819990392775,7.0,447.67998999357303,6.0,460.499989707023,10.0,475.499989371747,9.0,487.939989093692,4.0,634.3199858218479,5.0,644.819985587148
3,1,27.59999938309189,2,69.95999843627209,3,88.47999802231809,15.0,376.03999159485113,14.0,387.07999134808813,13.0,409.3599908500911,12.0,425.4999904893341,11.0,428.11999043077213,8.0,586.0999868996441,9.0,589.9799868129192,7.0,622.5799860842521,6.0,637.5599857494232,10.0,652.8399854078891,4.0,773.0399827212091,5.0,791.2799823135141
4,1,5.079999886453102,2,34.31999923288819,3,49.679998889565894,15.0,411.01999081298686,14.0,416.91999068111187,13.0,431.8399903476239,12.0,452.1799898929889,11.0,501.39998879283684,6.0,583.599986955524,7.0,595.959986679256,8.0,617.199986204505,9.0,632.0999858714639,10.0,650.0999854691329,4.0,759.1599830314519,5.0,764.5199829116459
5,1,23.0799994841218,2,40.79999908804869,3,57.2999987192447,15.0,315.8999929390847,14.0,321.75999280810373,13.0,335.0999925099317,12.0,354.7799920700487,11.0,382.6199914477767,10.0,402.3999910056587,9.0,416.5399906896057,8.0,429.7799903936687,7.0,445.63999003916973,6.0,459.5399897284807,4.0,717.2999839670957,5.0,727.5799837373197
6,1,3.7999999150634025,2,22.399999499320998,3,36.519999183714404,15.0,407.0599909014999,14.0,435.7999902591109,13.0,448.7799899689849,12.0,480.49998925998796,11.0,495.49998892471194,6.0,641.1799856685099,7.0,649.2799854874609,8.0,661.7799852080639,9.0,671.7999849840999,10.0,683.8599847145379,4.0,760.999982990325,5.0,765.779982883483
7,1,13.9799996875227,2,25.599999427795503,3,36.4199991859496,15.0,233.8999947719281,14.0,240.1799946315591,13.0,268.7799939922991,12.0,282.9599936753511,11.0,294.7799934111541,10.0,353.7999920919541,9.0,363.6199918724601,8.0,373.6399916484951,7.0,386.97999135032313,6.0,392.9799912162121,4.0,455.7799898125231,5.0,459.5799897275861
8,1,16.819999624043696,2,28.239999368786904,3,38.1599991470576,15.0,209.31999532133338,14.0,217.9799951277674,13.0,240.55999462306536,12.0,259.37999420240544,11.0,274.5999938622114,6.0,317.9199928939344,7.0,324.1199927553534,8.0,336.3999924808744,9.0,344.41999230161343,10.0,354.51999207586044,4.0,619.5599861517544,,
9,1,14.379999678581996,2,26.43999940901999,3,36.4399991855028,15.0,142.1399968229238,14.0,146.3599967285988,13.0,161.13999639824078,12.0,185.07999586313977,11.0,186.41999583318878,6.0,220.67999506741782,7.0,229.2399948760868,8.0,239.3399946503338,9.0,247.9199944585558,10.0,255.69999428465982,4.0,305.5599931702018,5.0,308.7999930977818
10,1,11.119999751448596,2,19.6399995610118,3,37.9799991510809,15.0,300.8999932743605,14.0,327.07999268919247,13.0,337.2399924620985,12.0,350.4799921661615,11.0,356.0799920409915,9.0,437.4799902215605,8.0,438.2199902050195,10.0,453.6399898603555,6.0,463.5399896390735,7.0,473.69998941197946,4.0,544.8399878218775,5.0,545.8199877999725
